annee,boite,lieu,modele,moteur,nbr_km,photo,prix,version
10-2019,Automatique,SPOTICAR AUTOBERNARD SEYNOD,Peugeot 3008,Essence,52 920 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-3008-2844202_1.JPG,24 480 €,1.2 PureTech 130ch GT Line S&S EAT8  6cv
10-2020,Manuelle,SPOTICAR AUTOBERNARD LA RAVOIRE,Peugeot 5008,Essence,24 364 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-5008-2844176_1.JPG,24 990 €,1.2 PureTech 130ch S&S Active
05-2023,Automatique,SPOTICAR AUTOBERNARD CHAMBERY,Peugeot 408,Essence,8 000 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-408-2844153_1.JPG,38 000 €,1.2 PureTech 130ch S&S GT EAT8
01-2020,Manuelle,SPOTICAR AUTOBERNARD CHAMBERY,Peugeot 208,Essence,38 926 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-208-2844150_1.JPG,17 880 €,1.2 PureTech 100ch S&S Allure
04-2023,Automatique,SPOTICAR GEMY VANNES,Peugeot 208,Essence,12 560 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-208-2843762_1.JPG,21 900 €,PureTech 100 S&S EAT8 Allure
11-2020,Automatique,SPOTICAR GEMY CHATEAUBRIANT,Peugeot 2008,Electrique,70 679 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-2008-2843746_1.JPG,21 985 €,Moteur electrique 136 ch GT Line
10-2019,Automatique,SPOTICAR CLARIS AUTOMOBILES CHOLET,Citroën C5 Aircross,Essence,55 642 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/CITROEN-C5-AIRCROSS-2843745_1.JPG,25 990 €,PURETECH 180 S&S EAT8 SHINE
09-2020,Automatique,SPOTICAR CLARA AUTOMOBILES LA ROCHE SUR YON,Peugeot 308,Diesel,56 900 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-308-2843742_1.JPG,22 490 €,BlueHDi 130ch S&S EAT8 GT Pack
05-2020,Manuelle,SPOTICAR CLARA AUTOMOBILES LA ROCHE SUR YON,Opel Corsa,Diesel,56 786 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/OPEL-CORSA-2843741_1.JPG,14 490 €,1.5 DIESEL 100 CH BVM6 Edition
08-2020,Manuelle,SPOTICAR CLARA AUTOMOBILES LA ROCHE SUR YON,Peugeot 208,Diesel,36 486 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-208-2843727_1.JPG,18 990 €,BlueHDi 100 S&S BVM6 Active Business
11-2020,Automatique,SPOTICAR BAYI AUTO ARGENTAN,Peugeot 3008,Diesel,83 369 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-3008-2843722_1.JPG,21 990 €,BlueHDi 130ch S&S EAT8 Active Business
03-2022,Automatique,SPOTICAR BAYI AUTO ARGENTAN,Peugeot 308,Diesel,73 550 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-308-2843720_1.JPG,23 990 €,BlueHDi 130ch S&S EAT8 Allure
09-2022,Automatique,DS STORE LA ROCHELLE,DS 3,Electrique,990 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/DS-DS-3-2843571_1.JPG,32 990 €,Crossback E-Tense Montmartre
08-2022,Automatique,DS STORE LA ROCHELLE,DS 3,Electrique,9 500 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/DS-DS-3-2843570_1.JPG,33 990 €,3 Crossback E-Tense Performance Line+
05-2017,Manuelle,SPOTICAR STELLANTIS &YOU ROUEN,Citroën C3,Essence,52 422 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/CITROEN-C3-2843549_1.JPG,12 790 €,PureTech 110 S&S Shine
10-2019,Manuelle,SPOTICAR STELLANTIS &YOU BARENTIN,Peugeot 2008,Essence,43 139 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-2008-2843534_1.JPG,15 790 €,PureTech 110ch S&S BVM6 Signature
08-2021,Automatique,SPOTICAR STELLANTIS &YOU ROUEN,Citroën C4,Essence,34 238 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/CITROEN-C4-2843531_1.JPG,24 490 €,PureTech 130 S&S EAT8 Shine Pack
07-2022,Manuelle,SPOTICAR FELIX FAURE VITROLLES,Citroën C4,Essence,16 069 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/CITROEN-C4-2843522_1.JPG,25 750 €,PureTech 130 S&S BVM6 Shine
02-2023,Manuelle,SPOTICAR CLARIS AUTOMOBILES CHALLANS,Citroën C3,Essence,11 500 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/CITROEN-C3-2843429_1.JPG,19 490 €,PureTech 83 S&S BVM5 Shine
06-2020,Automatique,SPOTICAR CLARA AUTOMOBILES LE MANS,Peugeot 2008,Electrique,71 124 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-2008-2843349_1.JPG,21 490 €,Moteur electrique 136 ch Active Business
09-2018,Manuelle,SPOTICAR CLARA AUTOMOBILES LE MANS,Peugeot 2008,Essence,49 119 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-2008-2843343_1.JPG,15 790 €,1.2 PureTech 110ch S&S BVM5 Allure
11-2022,Manuelle,SPOTICAR CLARA AUTOMOBILES LE MANS,Peugeot 208,Essence,21 004 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-208-2843337_1.JPG,17 490 €,PureTech 75 S&S BVM5 Style
05-2020,Manuelle,SPOTICAR MONTMOROT JMJ AUTOMOBILES,Peugeot 208,Essence,32 995 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-208-2843231_1.JPG,16 990 €,PureTech 100 S&S BVM6 Allure
07-2022,Manuelle,SPOTICAR FELIX FAURE CASTELNAU,Citroën C4,Essence,16 069 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/CITROEN-C4-2843199_1.JPG,25 750 €,PureTech 130 S&S BVM6 Shine
08-2020,Manuelle,SPOTICAR BAYI AUTO ARGENTAN,Citroën C1,Essence,42 650 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/CITROEN-C1-2840893_1.JPG,10 990 €,VTi 72 S&S Feel
12-2021,Automatique,SPOTICAR BAYI AUTO ARGENTAN,Peugeot 508,Hybride rechargeable,10 663 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-508-2840894_1.JPG,44 990 €,Hybrid4 360 e-EAT8 Peugeot Sport Engineered
02-2017,Manuelle,SPOTICAR BAYI AUTO ARGENTAN,Peugeot 3008,Diesel,100 470 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-3008-2840892_1.JPG,18 990 €,1.6 BlueHDi 120ch S&S BVM6 Allure
01-2021,Manuelle,SPOTICAR GEMY ANGERS,Peugeot 208,Diesel,69 094 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-208-2840891_1.JPG,12 789 €,BLUEHDI 100 S&S BVM6 PREMIUM PACK
08-2022,Manuelle,SPOTICAR STELLANTIS &YOU RONCQ,Peugeot 2008,Essence,13 531 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-2008-2840865_1.JPG,24 990 €,PureTech 130 S&S BVM6 Allure Pack
12-2022,Manuelle,SPOTICAR STELLANTIS &YOU RONCQ,Citroën C3,Essence,16 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/CITROEN-C3-2840864_1.JPG,17 990 €,PureTech 83 S&S BVM5 Shine
01-2021,Automatique,SPOTICAR CLARA AUTOMOBILES LE MANS,Peugeot 3008,Essence,29 232 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-3008-2840863_1.JPG,28 990 €,Puretech 130ch S&S EAT8 Allure Pack
10-2021,Manuelle,SPOTICAR CLARA AUTOMOBILES LE MANS,Peugeot 208,Essence,19 331 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-208-2840861_1.JPG,19 490 €,PureTech 100 S&S BVM6 Roadtrip
11-2022,Manuelle,SPOTICAR CLARA AUTOMOBILES LE MANS,Peugeot 208,Essence,17 092 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-208-2840860_1.JPG,17 990 €,PureTech 75 S&S BVM5 Style
07-2019,Manuelle,SPOTICAR CLARA AUTOMOBILES LE MANS,Peugeot Rifter,Essence,65 692 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-RIFTER-2840862_1.JPG,20 990 €,Standard PureTech 110 S&S BVM6 Active
10-2020,Manuelle,SPOTICAR CLARA AUTOMOBILES LE MANS,Peugeot 5008,Diesel,44 761 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-5008-2840858_1.JPG,28 490 €,BlueHDi 130ch S&S BVM6 Allure
12-2019,Automatique,SPOTICAR CLARA AUTOMOBILES LE MANS,Peugeot 2008,Diesel,52 013 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-2008-2840856_1.JPG,24 790 €,BlueHDi 130 S&S EAT8 GT Line
10-2022,Manuelle,SPOTICAR CLARA AUTOMOBILES LE MANS,Peugeot 208,Essence,13 000 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-208-2840855_1.JPG,17 790 €,PureTech 75 S&S BVM5 Style
06-2020,Automatique,SPOTICAR CLARA AUTOMOBILES NOGENT LE ROTROU,Peugeot 3008,Essence,41 883 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-3008-2841007_1.JPG,22 990 €,Puretech 130ch S&S EAT8 Active Business
08-2019,Manuelle,SPOTICAR STELLANTIS &YOU LOMME,Peugeot 208,Essence,41 430 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-208-2840971_1.JPG,11 290 €,PureTech 68ch BVM5 Like
05-2019,Manuelle,SPOTICAR PICARD GAILLAC,Peugeot 3008,Diesel,82 011 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-3008-2840722_1.JPG,21 990 €,1.5 BlueHDi 130ch E6.c GT Line S&S 111g
08-2020,Automatique,SPOTICAR CLARA AUTOMOBILES ROCHEFORT,Peugeot 508,Diesel,46 250 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-508-2840853_1.JPG,26 460 €,SW BlueHDi 130 ch S&S EAT8 Allure Business
05-2016,Manuelle,SPOTICAR CLARA AUTOMOBILES LE MANS,Citroën C3,Essence,106 533 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/CITROEN-C3-2840854_1.JPG,10 290 €,PureTech 82 Confort
11-2022,Manuelle,SPOTICAR CLARO AUTOMOBILES CHOLET,Opel Mokka,Essence,15 323 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/OPEL-MOKKA-2840846_1.JPG,23 790 €,1.2 TURBO 100 CH BVM6 Elegance Business
10-2019,Manuelle,SPOTICAR STELLANTIS &YOU BORDEAUX LE BOUSCAT,Citroën C4 Cactus,Essence,58 868 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/CITROEN-C4-CACTUS-2840839_1.JPG,15 990 €,PureTech 110 S&S BVM6 Origins
09-2022,Manuelle,SPOTICAR STELLANTIS &YOU BORDEAUX LE BOUSCAT,Peugeot 208,Diesel,22 071 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-208-2840838_1.JPG,19 990 €,BlueHDi 100 S&S BVM6 Style
07-2020,Manuelle,SPOTICAR CLARA AUTOMOBILES GUERET,Peugeot 2008,Diesel,91 245 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-2008-2824109_1.JPG,18 999 €,BlueHDi 100 S&S BVM6 Allure
04-2021,Automatique,SPOTICAR STELLANTIS &YOU AMIENS,Citroën C3,Essence,125 199 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/CITROEN-C3-2821484_1.JPG,13 490 €,PureTech 110 S&S EAT6 Shine
07-2017,Manuelle,SPOTICAR CLARA AUTOMOBILES GUERET,Peugeot 3008,Essence,77 201 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-3008-2818518_1.JPG,20 990 €,1.2 Puretech 130ch S&S BVM6 Active Business
03-2021,Manuelle,None,Opel Corsa,Essence,21 405 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/OPEL-CORSA-2740580_1.JPG,13 190 €,1.2 75 ch BVM5 Edition Business
12-2020,Automatique,SPOTICAR STELLANTIS &YOU MERIGNAC,Peugeot 2008,Essence,26 905 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-2008-2841004_1.JPG,24 690 €,PureTech 130 S&S EAT8 Allure
02-2023,Manuelle,SPOTICAR CLARA AUTOMOBILES LA ROCHELLE,Peugeot 208,Essence,11 500 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-208-2841005_1.JPG,18 990 €,PureTech 75 S&S BVM5 Style
03-2021,Manuelle,SPOTICAR CLARIS AUTOMOBILES LA ROCHE SUR YON,Citroën C3,Essence,45 030 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/CITROEN-C3-2841001_1.JPG,12 990 €,PureTech 83 S&S BVM5 Feel
07-2018,Manuelle,SPOTICAR EPINAL AUTO JMJ AUTOMOBILES,Peugeot 3008,Essence,72 775 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-3008-2841002_1.JPG,20 390 €,1.2 Puretech 130ch S&S BVM6 GT Line
04-2021,Automatique,SPOTICAR CLARA AUTOMOBILES ST GGES DE DIDONNE,Peugeot 208,Essence,33 696 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-208-2840999_1.JPG,17 990 €,PureTech 100 S&S EAT8 Active Business
10-2022,Manuelle,SPOTICAR CLARA AUTOMOBILES LES SABLES D'OLONNE,Peugeot 208,Essence,17 527 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-208-2840995_1.JPG,15 990 €,PureTech 75 S&S BVM5 Style
03-2018,Manuelle,SPOTICAR CLARA AUTOMOBILES LA ROCHE SUR YON,Peugeot 308,Essence,68 021 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-308-2840984_1.JPG,14 990 €,PureTech 110ch S&S BVM6 Style
09-2019,Manuelle,SPOTICAR CLARA AUTOMOBILES LA ROCHE SUR YON,Nissan Qashqai,Diesel,80 329 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/NISSAN-QASHQAI-2840983_1.JPG,18 490 €,1.5 DCI 115 N-Connecta
05-2016,Automatique,SPOTICAR STELLANTIS &YOU LOMME,Peugeot 308,Essence,97 974 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-308-2840980_1.JPG,13 790 €,SW 1.2 PureTech 130ch S&S EAT6 Allure
09-2019,Manuelle,SPOTICAR STELLANTIS &YOU LOMME,Peugeot 308,Essence,43 197 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-308-2840977_1.JPG,16 190 €,PureTech 110ch S&S BVM6 Style
07-2019,Manuelle,SPOTICAR STELLANTIS &YOU VILLENEUVE D'ASCQ,Peugeot 208,Essence,105 688 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-208-2840963_1.JPG,11 490 €,PureTech 110ch S&S BVM6 GT Line
06-2021,Manuelle,SPOTICAR CLARIS CHARTRES,Citroën C3,Essence,47 518 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/CITROEN-C3-2840961_1.JPG,13 990 €,PureTech 83 S&S BVM5 Shine
04-2021,Automatique,SPOTICAR CLARIS CHARTRES,Citroën C3,Essence,36 537 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/CITROEN-C3-2840960_1.JPG,17 890 €,PureTech 110 S&S EAT6 Shine
03-2021,Manuelle,SPOTICAR CLARIS CHARTRES,Citroën C3,Essence,34 371 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/CITROEN-C3-2840959_1.JPG,14 490 €,PureTech 83 S&S BVM5 Shine
03-2021,Manuelle,SPOTICAR CLARA AUTOMOBILES CHOLET,Peugeot 208,Diesel,21 581 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-208-2840956_1.JPG,20 490 €,BlueHDi 100 S&S BVM6 Allure Pack
10-2019,Automatique,SPOTICAR CLARIS DREUX,Citroën C4,Essence,77 206 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/CITROEN-C4-2840946_1.JPG,17 990 €,Grand C4 Spacetourer PureTech 130 S&S EAT8 Feel
04-2019,Manuelle,SPOTICAR STELLANTIS &YOU FONTENAY SS BOIS,Peugeot 208,Essence,40 719 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-208-2840940_1.JPG,9 670 €,PureTech 68ch BVM5 Like
12-2022,Automatique,SPOTICAR STELLANTIS &YOU BARENTIN,Peugeot 208,Essence,17 794 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-208-2840936_1.JPG,24 490 €,PureTech 100 S&S EAT8 GT
11-2018,Automatique,SPOTICAR CLARA AUTOMOBILES FONTENAY LE COMTE,Peugeot 2008,Diesel,124 630 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-2008-2840928_1.JPG,15 290 €,BlueHDi 120ch S&S EAT6 GT Line
08-2019,Automatique,DS STORE LILLE LOMME,DS 7,Diesel,85 576 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/DS-DS-7-CROSSBACK-2840927_1.JPG,29 490 €,CROSSBACK Crossback BlueHDi 180 EAT8 Grand Chic
02-2023,Automatique,SPOTICAR G. NEDELEC BREST,Peugeot 3008,Diesel,21 895 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-3008-2840713_1.JPG,34 990 €,1.5 BlueHDi 130ch S&S Allure Pack EAT8
02-2023,Manuelle,SPOTICAR G. NEDELEC BREST,Peugeot 208,Diesel,10 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-208-2840715_1.JPG,20 990 €,1.5 BlueHDi 100ch S&S Active
06-2020,Automatique,SPOTICAR AUTOBERNARD BOURG EN BRESSE,Peugeot 2008,Electrique,73 101 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-2008-2840712_1.JPG,20 990 €,e-2008 136ch Allure
04-2021,Manuelle,SPOTICAR G. NEDELEC BREST,Peugeot 5008,Essence,24 578 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-5008-2840709_1.JPG,28 990 €,1.2 PureTech 130ch S&S Allure
01-2021,Automatique,SPOTICAR G. NEDELEC BREST,Peugeot 5008,Diesel,61 671 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-5008-2840707_1.JPG,35 490 €,2.0 BlueHDi 180ch S&S GT EAT8
06-2023,Automatique,SPOTICAR GARAGE DU GOLF JOUY LE MOUTIER,Peugeot 5008,Essence,5 600 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-5008-2840702_1.JPG,31 990 €,1.2 PureTech 130ch S&S Allure Pack EAT8
11-2019,Manuelle,SPOTICAR AUTOBERNARD ALBERTVILLE,Peugeot 308,Essence,18 952 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-308-2840694_1.JPG,17 989 €,1.2 PureTech 110ch E6.3 S&S Style
03-2022,Automatique,SPOTICAR AUTOBERNARD LA RAVOIRE,Renault Captur,Hybride,5 258 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/RENAULT-CAPTUR-2840662_1.JPG,23 689 €,1.3 TCe 140ch FAP Intens EDC -21
05-2021,Automatique,SPOTICAR AUTOBERNARD LA RAVOIRE,Seat Leon,Diesel,27 446 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/SEAT-LEON-2840660_1.JPG,25 990 €,2.0 TDI 150ch FR DSG7
02-2020,Automatique,SPOTICAR STELLANTIS &YOU RONCQ,Peugeot 208,Electrique,22 363 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-208-2719155_1.JPG,17 990 €,Electrique 50 kWh 136ch Active
04-2022,Automatique,SPOTICAR PICARD GAILLAC,Peugeot 208,Essence,3 015 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-208-2840721_1.JPG,23 990 €,1.2 PureTech 130ch S&S Allure Pack EAT8
07-2017,Automatique,SPOTICAR STELLANTIS &YOU LOMME,DS 5,Diesel,72 800 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/DS-DS-5-2840976_1.JPG,18 990 €,BlueHDi 180 S&S EAT6 PERFORMANCE line
10-2018,Manuelle,SPOTICAR BAYI AUTO MAYENNE,Hyundai Kona,Essence,68 239 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/HYUNDAI-KONA-2840898_1.JPG,14 280 €,1.0 T-GDi 120 Edition #1
03-2023,Manuelle,SPOTICAR GPP BOLLENE,Peugeot 208,Essence,10 939 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-208-2840654_1.JPG,18 490 €,1.2 PureTech 100ch S&S Style
07-2020,Manuelle,SPOTICAR AUTOBERNARD CHAMBERY,Peugeot 208,Essence,89 890 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-208-2840650_1.JPG,16 980 €,1.2 PureTech 100ch S&S GT Line
06-2023,Automatique,SPOTICAR DUBREUIL AUTOMOBILES LOUVIERS,Peugeot 5008,Diesel,5 626 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-5008-2840652_1.JPG,37 990 €,1.5 BlueHDi 130ch S&S Allure Pack EAT8
10-2021,Automatique,SPOTICAR AUTOBERNARD CHAMBERY,Peugeot 208,Electrique,16 456 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-208-2840647_1.JPG,24 990 €,e-208 136ch Style
05-2018,Automatique,SPOTICAR AUTOBERNARD GRENOBLE,Peugeot 3008,Essence,54 593 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-3008-2840643_1.JPG,20 679 €,1.2 PureTech 130ch Allure Business S&S EAT6
06-2021,Manuelle,SPOTICAR AUTOBERNARD GRENOBLE,Peugeot 2008,Essence,46 282 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-2008-2840641_1.JPG,17 951 €,1.2 PureTech 100ch S&S Active Business
06-2020,Automatique,SPOTICAR AUTOBERNARD GRENOBLE,Peugeot 208,Electrique,11 564 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-208-2840640_1.JPG,18 671 €,e-208 136ch Active
02-2021,Automatique,SPOTICAR AUTOBERNARD GRENOBLE,Peugeot 208,Electrique,56 161 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-208-2840638_1.JPG,17 899 €,e-208 136ch Active
05-2022,Manuelle,SPOTICAR AUTOBERNARD GRENOBLE,Peugeot 308,Essence,6 832 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-308-2840636_1.JPG,20 760 €,1.2 PureTech 110ch S&S Active Pack
04-2023,Automatique,SPOTICAR AUTOBERNARD SEYNOD,Peugeot 2008,Essence,50 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-2008-2840635_1.JPG,25 700 €,1.2 PureTech 130ch S&S Active Pack EAT8
02-2023,Automatique,SPOTICAR AUTOBERNARD GRENOBLE,Peugeot 308,Hybride rechargeable,26 830 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-308-2840634_1.JPG,33 822 €,PHEV 180ch Active Pack e-EAT8
09-2018,Automatique,SPOTICAR AUTOBERNARD SEYNOD,Toyota Auris,Hybride,73 894 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/TOYOTA-AURIS-2840631_1.JPG,17 579 €,HSD 136h Collection RC18
02-2021,Manuelle,SPOTICAR AUTOBERNARD GRENOBLE,Peugeot 208,Essence,25 672 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-208-2840626_1.JPG,20 479 €,1.2 PureTech 100ch S&S GT 118g
11-2019,Manuelle,SPOTICAR AUTOBERNARD GRENOBLE,Dacia Sandero,Essence,10 961 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/DACIA-SANDERO-2840627_1.JPG,13 758 €,0.9 TCe 90ch Stepway - 19
09-2023,Automatique,SPOTICAR FELIX FAURE CARRIERES,Peugeot 208,Essence,5 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-208-2840306_1.JPG,23 450 €,PureTech 100 S&S EAT8 Allure
04-2018,Manuelle,SPOTICAR AUTOBERNARD GRENOBLE,Peugeot 308,Diesel,97 105 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-308-2840625_1.JPG,12 820 €,1.6 BlueHDi 100ch S&S Style
