annee,boite,lieu,modele,moteur,nbr_km,photo,prix,version
11-2019,Manuelle,SPOTICAR STELLANTIS &YOU LYON ECULLY,Citroën C3 Aircross,Essence,27 411 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/CITROEN-C3-AIRCROSS-2813619_1.JPG,17 189 €,PURETECH 110 S&S BVM6 SHINE
10-2018,Automatique,SPOTICAR STELLANTIS &YOU LYON ECULLY,Citroën C3,Essence,39 678 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/CITROEN-C3-2813615_1.JPG,15 789 €,PureTech 110 S&S EAT6 Shine
02-2022,Automatique,SPOTICAR STELLANTIS &YOU CESSON RUE DE RENNES,Peugeot 3008,Hybride rechargeable,43 093 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-3008-2813614_1.JPG,31 990 €,Hybrid 225 e-EAT8 Allure Pack
02-2020,Automatique,SPOTICAR CLARA AUTOMOBILES REDON,Peugeot 2008,Diesel,94 578 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-2008-2813611_1.JPG,21 990 €,BlueHDi 130 S&S EAT8 GT Line
01-2020,Manuelle,SPOTICAR STELLANTIS &YOU LYON ECULLY,Citroën C3 Aircross,Essence,36 894 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/CITROEN-C3-AIRCROSS-2813598_1.JPG,16 989 €,PURETECH 110 S&S BVM6 SHINE
07-2020,Manuelle,SPOTICAR STELLANTIS &YOU LYON ECULLY,Peugeot 208,Essence,33 148 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-208-2813592_1.JPG,18 089 €,PureTech 100 S&S BVM6 Allure
08-2021,Automatique,SPOTICAR STELLANTIS &YOU CESSON RUE DE RENNES,Peugeot 2008,Diesel,16 173 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-2008-2813589_1.JPG,25 490 €,BlueHDi 130 S&S EAT8 Allure Pack
12-2021,Manuelle,SPOTICAR STELLANTIS &YOU CESSON RUE DE RENNES,Peugeot 208,Essence,42 387 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-208-2813587_1.JPG,13 950 €,PureTech 75 S&S BVM5 Like
03-2020,Manuelle,SPOTICAR STELLANTIS &YOU BORDEAUX LE BOUSCAT,Renault Megane,Essence,44 203 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/RENAULT-MEGANE-2813585_1.JPG,18 990 €,Megane IV Berline TCe 140 FAP GT-Line
07-2022,Manuelle,SPOTICAR STELLANTIS &YOU BORDEAUX LE BOUSCAT,Peugeot 2008,Diesel,20 056 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-2008-2813582_1.JPG,23 890 €,BlueHDi 110 S&S BVM6 Active Pack
05-2020,Manuelle,SPOTICAR STELLANTIS &YOU BORDEAUX LE BOUSCAT,Citroën C5 Aircross,Diesel,63 561 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/CITROEN-C5-AIRCROSS-2813577_1.JPG,22 990 €,BlueHDi 130 S&S BVM6 Shine
